State,Prevalence,95% CI
Alabama,32.4,"(31.4, 33.4)"
Alaska,28.7,"(27.2, 30.2)"
Arizona,26,"(25.1, 26.9)"
Arkansas,34,"(32.5, 35.4)"
California,22.7,"(21.9, 23.6)"
Colorado,19.8,"(19.2, 20.4)"
Connecticut,24.3,"(23.5, 25.1)"
Delaware,29.4,"(28.0, 30.9)"
District of Columbia,9.7,"(8.5, 11.2)"
Florida,25.7,"(24.9, 26.5)"
Georgia,28.9,"(27.7, 30.1)"
Guam,24.8,"(19.9, 30.5)"
Hawaii,17.6,"(16.3, 19.0)"
Idaho,27.6,"(26.6, 28.7)"
Illinois,29.2,"(28.1, 30.3)"
Indiana,31.8,"(30.9, 32.7)"
Iowa,31.9,"(31.1, 32.8)"
Kansas,31.5,"(30.9, 32.1)"
Kentucky,33.4,"(32.4, 34.3)"
Louisiana,32.6,"(31.4, 33.9)"
Maine,29.5,"(28.7, 30.3)"
Maryland,27.8,"(26.8, 28.8)"
Massachusetts,22.9,"(22.2, 23.7)"
Michigan,30.7,"(29.9, 31.4)"
Minnesota,27.3,"(26.8, 27.8)"
Mississippi,31.9,"(30.6, 33.3)"
Missouri,30.7,"(29.7, 31.8)"
Montana,24.4,"(23.5, 25.4)"
Nebraska,30.8,"(30.1, 31.5)"
Nevada,26.2,"(24.7, 27.9)"
New Hampshire,27.2,"(26.3, 28.2)"
New Jersey,25.4,"(24.5, 26.4)"
New Mexico,23.9,"(22.7, 25.2)"
New York,25.1,"(24.3, 25.9)"
North Carolina,28.1,"(27.2, 29.1)"
North Dakota,31.5,"(30.5, 32.6)"
Ohio,30.8,"(30.0, 31.7)"
Oklahoma,32.3,"(31.3, 33.2)"
Oregon,29,"(28.1, 30.0)"
Pennsylvania,29.5,"(28.6, 30.4)"
Puerto Rico,36,"(24.8, 49.0)"
Rhode Island,26,"(24.9, 27.1)"
South Carolina,28.9,"(28.1, 29.8)"
South Dakota,29.5,"(28.4, 30.7)"
Tennessee,31.3,"(30.2, 32.4)"
Texas,29.2,"(28.1, 30.3)"
Utah,24.9,"(24.3, 25.6)"
Vermont,25.7,"(24.9, 26.6)"
Virginia,27.3,"(26.5, 28.2)"
Washington,28.2,"(27.5, 28.8)"
West Virginia,36,"(35.2, 36.9)"
Wisconsin,30.5,"(29.5, 31.5)"
Wyoming,27.9,"(26.8, 29.2)"
