State,Rank,"Whole Foods Per 100,000",Total Population,No. of Whole Foods locations
Massachusetts,1,0.47,6745408,32
Colorado,2,0.35,5355866,19
Rhode Island,3,0.28,1055173,3
Oregon,4,0.25,3970239,10
Connecticut,5,0.25,3596677,9
California,6,0.22,38802500,85
New Jersey,7,0.21,8938175,19
Hawaii,8,0.21,1419561,3
Illinois,9,0.2,12880580,26
Maryland,10,0.17,5976407,10
Virginia,11,0.16,8326289,13
New Hampshire,12,0.15,1326813,2
Louisiana,13,0.15,4649676,7
Arizona,14,0.15,6731484,10
New Mexico,15,0.14,2085572,3
North Carolina,16,0.14,9943964,14
Kansas,17,0.14,2904021,4
Utah,18,0.14,2942902,4
Florida,19,0.14,19893297,27
Minnesota,20,0.13,5457173,7
Washington,21,0.13,7061530,9
Texas,22,0.13,26956958,34
New York,23,0.11,19746227,21
Nebraska,24,0.11,1881503,2
Alabama,25,0.1,4849377,5
Pennsylvania,26,0.1,12787209,13
Georgia,27,0.1,10097343,10
Tennessee,28,0.09,6549352,6
Ohio,29,0.09,11594163,10
South Carolina,30,0.08,4832482,4
Oklahoma,31,0.08,3878051,3
Indiana,32,0.08,6596855,5
Maine,33,0.08,1330089,1
Michigan,34,0.07,9909877,7
Arkansas,35,0.07,2966369,2
Idaho,36,0.06,1634464,1
Wisconsin,37,0.05,5757564,3
Missouri,38,0.05,6063589,3
Kentucky,39,0.05,4413457,2
Mississippi,40,0.03,2994079,1
Iowa,41,0.03,3107126,1
Alaska,42,0,736732,0
Delaware,43,0,935614,0
Montana,44,0,1023579,0
Nevada,45,0,2839099,0
North Dakota,46,0,739482,0
South Dakota,47,0,853175,0
Vermont,48,0,626562,0
West Virginia,49,0,1850326,0
Wyoming,50,0,584153,0
